slug,category,title,primary_keyword,secondary_keywords,ai_slop_checked_at,fact_checked_at,personal_stories,expert_quotes,voice_pct,real_voice_pct,confirmed_voice_word_count,unmarked_voice_word_count,unmarked_voice_sentence_count,seo_optimised_at,last_reviewed_at
"academy-categories-explained","Academy Pathway","Category 1, 2, 3 & 4 Football Academies","Category 1, 2, 3 and 4 Football Academies","","2026-08-07","","0","0","0%","0%","0","0","0","","2026-08-07"
"development-centres-vs-academies","Academy Pathway","Development Centres vs Academies: What's the Difference?","Development Centres vs Academies","","2026-08-07","","0","0","2.7%","4.3%","32","102","3","","2026-08-07"
"how-academy-football-works","Academy Pathway","How Academy Football Works in the UK","How Academy Football Works in the UK","","2026-08-07","","0","0","0%","0%","0","0","0","","2026-08-07"
"understanding-academy-release","Academy Pathway","Understanding Academy Release In Football","Understanding Academy Release In Football","","2026-08-07","","0","0","0%","0%","0","123","3","","2026-08-07"
"how-to-join-a-football-academy","Academy Pathway","How to Join a Football Academy: A Realistic Guide for Parents","How to Join a Football Academy","","2026-08-07","2026-08-08T10:54:01+01:00","0","1","5.2%","5.2%","0","32","1","","2026-08-08T10:54:01+01:00"
"what-age-do-football-academies-recruit","Academy Pathway","What Age Do Football Academies Recruit?","What Age Do Football Academies Recruit","","2026-08-07","","0","0","0%","0%","0","34","1","","2026-08-07"
"what-is-eppp","Academy Pathway","What Is EPPP? Elite Player Performance Plan","What Is EPPP? The Elite Player Performance Plan","","2026-08-07","","0","0","0%","0%","0","0","0","","2026-08-07"
"uk-football-development-centres-explained","Academy Pathway","UK Football Development Centres Explained","UK Football Development Centres","","2026-08-07","2026-08-08T12:46:16+01:00","2","0","10.4%","10.4%","0","0","0","","2026-08-08T12:46:16+01:00"
"pdc-vs-ptc-vs-rtc-explained","Academy Pathway","PDC vs PTC vs RTC vs ETC: Football Pathway Terms Explained","PDC vs PTC vs RTC vs ETC","","2026-08-07","","0","0","0%","0%","0","0","0","","2026-08-07"
"how-players-progress-through-football-development-centres","Academy Pathway","Progress Through Football Development Centres","How Players Progress Through Football Development Centres","","2026-08-07","2026-08-08T19:49:26.089Z","1","0","8.3%","8.3%","0","0","0","","2026-08-08T19:49:26.089Z"
"chelsea-fc-development-centre-guide","Academy Pathway","Chelsea FC Development Centre: A Parent's Guide","Chelsea FC Development Centre","","2026-08-07","2026-08-08T19:49:50.039Z","1","0","5.2%","5.2%","0","0","0","","2026-08-08T19:49:50.039Z"
"arsenal-development-centre-guide","Academy Pathway","Arsenal FC Development Centre: A Parent's Guide","Arsenal FC Development Centre","","2026-08-07","2026-08-08T19:49:23.690Z","1","0","1.3%","1.3%","0","0","0","","2026-08-08T19:49:23.690Z"
"crystal-palace-development-centre-guide","Academy Pathway","Crystal Palace Development Centre Guide for Parents","Crystal Palace Development Centre","","2026-08-07","","0","0","0%","0%","0","0","0","","2026-08-07"
