old_url,backlinks,referring_domains,dofollow,still_live,best_referrer,best_referrer_rank,top_anchors,first_seen,last_seen,redirect_to,notes
grassrootsfootball.co.uk/,170,107,129,165,www.mirror.co.uk,613,www.grassrootsfootball.co.uk x48 | grassrootsfootball x40 | grassrootsfootball.co.uk x23,2019-01-21 04:38:33 +00:00,2026-09-23 13:42:45 +00:00,/coaching,Old site was the Grass Roots Football Show (coach/club event); FFT and Mirror links sit on coaching-tips pages. Coaching hub is the closest real match. Alternative: homepage.
grassrootsfootball.co.uk/tickets,3,3,2,3,www.birminghammail.co.uk,470,http://www.grassrootsfootball.co.uk/tickets/ x2 | here x1,2025-01-04 16:01:53 +00:00,2026-06-26 22:17:44 +00:00,410,Event ticket page for a 2009-10 show; no equivalent.
grassrootsfootball.co.uk/event-news,1,1,0,1,prlog.ru,459,grassrootsfootball.co.uk/event... x1,2025-11-15 09:22:04 +00:00,2025-11-15 09:22:04 +00:00,410,Event news; no equivalent. Only link is a nofollow prlog.ru analysis page.
grassrootsfootball.co.uk/ffttickets,1,1,1,1,www.fourfourtwo.com,458,ticket x1,2023-11-20 13:15:02 +00:00,2026-08-30 00:24:59 +00:00,410,FFT newsletter show-ticket link; no equivalent.
grassrootsfootball.co.uk/fftpreview,1,1,1,1,www.fourfourtwo.com,458,preview x1,2023-11-20 13:15:02 +00:00,2026-08-30 00:24:59 +00:00,410,FFT newsletter show-preview link; no equivalent.
grassrootsfootball.co.uk/fftexhib,1,1,1,1,www.fourfourtwo.com,458,exhibitor list x1,2023-11-20 13:15:02 +00:00,2026-08-30 00:24:59 +00:00,410,FFT newsletter exhibitor-list link; no equivalent.
grassrootsfootball.co.uk/fftppass,1,1,1,1,www.fourfourtwo.com,458,Premier Pass x1,2023-11-20 13:15:02 +00:00,2026-08-30 00:24:59 +00:00,410,FFT newsletter Premier Pass ticket link; no equivalent.
grassrootsfootball.co.uk/article/how-to-become-a-pro-footballer,1,1,1,0,piclur.com,369,(empty) x1,2025-10-02 00:09:54 +00:00,2026-03-21 20:47:32 +00:00,/football-development/how-to-become-a-professional-footballer,"Direct topic match. Only link is a piclur.com hashtag-search page, now lost."
grassrootsfootball.co.uk/article/common-mistakes-of-junior-football-coaches,1,1,1,0,piclur.com,368,(empty) x1,2026-03-21 20:47:32 +00:00,2026-04-13 20:20:18 +00:00,/coaching,"Coach-facing; no coach-mistakes article, so hub. Link lost."
grassrootsfootball.co.uk/article/many-benefits-of-your-child-playing-junior-football,1,1,1,0,piclur.com,368,(empty) x1,2026-03-21 20:47:32 +00:00,2026-04-13 20:20:18 +00:00,/parent-guides/what-is-grassroots-football,Parent-facing grassroots overview. Link lost.
grassrootsfootball.co.uk/article/building-mental-resilience-in-young-footballers,1,1,1,0,piclur.com,368,(empty) x1,2026-03-21 20:47:32 +00:00,2026-04-13 20:20:18 +00:00,/football-development/build-confidence-young-footballers,"Closest match (confidence, setbacks). Link lost."
grassrootsfootball.co.uk/article/why-dont-my-players-listen-at-training,1,1,0,1,piclur.com,368,grassrootsfootball.co.uk/article/why-do… x1,2026-04-13 20:20:18 +00:00,2026-04-13 20:20:18 +00:00,/coaching,"Coach-facing; no article on player attention, so hub. Nofollow piclur link."
grassrootsfootball.co.uk/article/the-vital-role-of-facilities-in-uk-junior-grassroots-football,1,1,0,1,piclur.com,368,grassrootsfootball.co.uk/article/the-vi… x1,2026-04-13 20:20:18 +00:00,2026-04-13 20:20:18 +00:00,/parent-guides/what-is-grassroots-football,Covers who runs grassroots football; loose match. Nofollow piclur link.
grassrootsfootball.co.uk/files/juliandicks_backtograssroots.pdf,4,1,4,4,theviewfromcullingworth.blogspot.com,297,players x4,2023-10-17 16:55:24 +00:00,2025-12-30 09:56:49 +00:00,410,Julian Dicks interview PDF; no equivalent.
grassrootsfootball.co.uk/page.cfm/Action=Seminars/SectorID=1,1,1,0,1,www.saintsweb.co.uk,210,http://www.grassrootsfootball.co.uk/page.cfm/Action=Seminars/SectorID=1 x1,2022-11-06 03:36:11 +00:00,2026-08-08 04:38:25 +00:00,410,Old coaching-seminar listing; no equivalent. Nofollow forum link.
grassrootsfootball.co.uk/pix/eh.jpg,1,1,1,1,wsoik.blogspot.com,54,(empty) x1,2023-11-04 13:05:41 +00:00,2025-11-21 10:41:55 +00:00,410,Image hotlink.
grassrootsfootball.co.uk/assets/Downloads/FATheatre10.pdf,2,1,2,2,sportspsychologisttoday.blogspot.com,22,THE FA THEATRETHE FA THEATRE x2,2023-10-11 21:38:54 +00:00,2025-12-02 07:13:50 +00:00,410,FA Theatre 2010 programme PDF; no equivalent.
