Opportunity Score,Fit Grade,Domain,Article title,URL,Country,Primary topic,Search phrase that found it,Why the app fits this specific article,"Domain authority/rank metric (DataForSEO bulk_ranks, screening signal only)",URL/page authority metric,Spam score,HTTP status,Outreach type,Notes
92,A,www.thefa.com,"Cornwall FA guidance on equal playing time in youth football, ten reasons plus a sample club policy",https://www.thefa.com/-/media/cfa/cornwallfa/files/governance/equal-playing-time.ashx,UK,Equal/fair playing time policy,equal playing time,A County FA guidance document that recommends clubs adopt written equal-playing-time policies for U6-U16 teams; a tracking app is the practical tool clubs following this guidance would need.,661,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Cornwall FA (The FA) | Domain type: governing body
87,A,cloud.rampinteractive.com,Grassroots soccer club game time policy with a 50% minimum and fair-play criteria for reducing minutes,https://cloud.rampinteractive.com/halifaxcountyunitedsoccerclub/files/HCUPOL-GT%20REV%202%201%2003%202019_Game%20Time%20Policy.pdf,Canada,Equal/fair playing time policy,club playing time policy template,"The club guarantees 50% game time for grassroots players and sets fair-play criteria for any reduction, which a tracking app would help coaches record and justify.",542,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,"RAMP Interactive file host, not Halifax County United Soccer Club's own domain - outreach must go to the club directly. | Org: Halifax County United Soccer Club | Domain type: grassroots club"
85,A,cdn1.sportngin.com,The equal playing time debate in youth soccer and balancing fairness with competitive development,https://cdn1.sportngin.com/attachments/document/0045/5558/Equal_Playing_Time_Debate.pdf,US,Equal/fair playing time policy,should children get equal playing time football,"Discusses the practical tension coaches face implementing fair rotation, which a tracking app helps resolve by making minutes visible and auditable.",436,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,"SportNgin attachment CDN, not the publishing organisation's own domain - identify and contact the actual source org before outreach. | Org: US Youth Soccer (hosted document) | Domain type: football publication"
83,A,learn.englandfootball.com,What equal playing time means in football and how to implement it,https://learn.englandfootball.com/articles-and-resources/coaching/resources/2023/What-is-equal-playing-time-in-football,UK,Equal/fair playing time policy,equal playing time,"England Football's own coaching resource advocates equal pitch time and discusses implementation, making it a natural place to reference a practical tracking tool.",396,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: The Football Association (England Football) | Domain type: governing body
83,A,footballnsw.com.au,How to ensure equal playing time within a youth football team,https://footballnsw.com.au/2025/06/05/how-to-ensure-equal-playing-time-within-your-team/,Australia,Equal/fair playing time policy,playing time policy,"A state governing body's article directly recommending rotation systems and substitution strategies to guarantee equal minutes, which a tracker would help coaches execute precisely.",398,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Football NSW | Domain type: governing body
82,A,www.rte.ie,"Equal playing time policies across youth sports including football, citing formal minimum-minutes rules",https://www.rte.ie/brainstorm/2026/0106/1551711-children-sport-equal-playing-time-performance-challenges-ages-aims-competition/,Ireland,Equal/fair playing time policy,equal playing time,"The piece cites formal minimum-game-time rules and argues for clear, monitored fairness policies, which a tracking app would help grassroots football coaches actually implement and evidence.",516,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: RTE Brainstorm | Domain type: publication
82,A,www.somersetfa.com,"Even Stevens initiative for equal playing time, including a playing-time calculator",https://www.somersetfa.com/coaches/even-stevens,UK,Tracking playing time,equal playing time,"The FA county body already recommends an equal-playing-time calculator to coaches, making a proper tracking app a natural extension of guidance they already endorse.",269,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Somerset FA | Domain type: governing body
82,A,www.hastingsymca.net,"Manual minute-by-minute player rotation grid for 6v6 youth soccer, for 7 to 12 player squads",https://www.hastingsymca.net/wp-content/uploads/Youth-Soccer-Player-Rotations-6v6-1.pdf,US,Squad/player rotation,player rotation youth soccer,"This is a literal paper rotation chart coaches use by hand to know who should be on the pitch at each 4-minute mark, precisely the manual process a tracking app automates.",196,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Hastings YMCA Youth Soccer | Domain type: charity
81,A,sheffieldfa.freshdesk.com,How to calculate and plan equal playing time minutes for matches,https://sheffieldfa.freshdesk.com/support/solutions/articles/76000060364-how-to-plan-equal-playing-time-calculating-minutes-,UK,Equal/fair playing time policy,equal playing time,"Provides manual formulas for splitting minutes fairly but no way to actually track accumulated minutes per player across a season, which is exactly what the app does.",236,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Sheffield FA | Domain type: governing body
80,A,wythenshaweafc.com,Equal playing time club policy (adapted from County FA guidance) with age-banded implementation,https://wythenshaweafc.com/wp-content/uploads/2025/02/Wythenshawe-FC-Equal-Playing-Time-Policy.pdf,UK,Equal/fair playing time policy,playing time policy,"The club's official policy requires equal playing time per game or per season by age group and cites parent-coach friction as a driver, which a tracking app would help evidence and manage.",148,n/a (DataForSEO backlinks/page_rank not pulled per-URL; domain-level bulk_rank used as the authority signal),n/a (not available from bulk_ranks; would require a per-domain summary call),200,App resource outreach,Org: Wythenshawe FC | Domain type: grassroots club
